id,uuid,title,settings,setting,_lft,_rgt,created_at,updated_at,extra_attributes,tenant_id
1990,be309251-c09d-4be9-972c-92f1f92aff9d,NML03112,[],[],3925,3926,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""MFG"", ""name"": ""Gloria Schulist"", ""shift"": ""Morning"", ""title"": ""NML03112"", ""supvid"": ""00031138"", ""daytype"": ""Regular"", ""job cat"": ""DL"", ""category"": ""XA"", ""supvname"": ""Wong Tai Yih"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""712008"", ""department"": ""MF04"", ""shiftgroup"": ""G26.C""}",56
1989,ca550bd0-5826-43f4-88f2-ce8ce77f7523,DN01116N,[],[],3923,3924,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""MFG"", ""name"": ""Jalen Greenfelder"", ""shift"": ""Morning"", ""title"": ""DN01116N"", ""supvid"": ""01391832"", ""daytype"": ""Regular"", ""job cat"": ""DL"", ""category"": ""XA"", ""supvname"": ""Eng Ching Hooi"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""711060"", ""department"": ""MF00"", ""shiftgroup"": ""G47.C""}",56
1988,a6326dca-39c6-4b75-8112-e03fb4acd052,01406085,[],[],3921,3922,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""MFG"", ""name"": ""Retha Bins"", ""shift"": ""Morning"", ""title"": ""01406085"", ""supvid"": ""01391934"", ""daytype"": ""Regular"", ""job cat"": ""DL"", ""category"": ""M0"", ""supvname"": ""Noor Hasmanida Binti Halim"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""711060"", ""department"": ""MF00"", ""shiftgroup"": ""G47""}",56
1987,7756a6b2-8f21-4ff3-b500-b1804aa73406,01392030,[],[],3919,3920,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""MFG"", ""name"": ""Ella Wunsch"", ""shift"": ""Normal"", ""title"": ""01392030"", ""supvid"": ""00031138"", ""daytype"": ""Regular"", ""job cat"": ""IL"", ""category"": ""M4"", ""supvname"": ""Wong Tai Yih"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""710235"", ""department"": ""MF06"", ""shiftgroup"": ""M40""}",56
1986,df1e6025-3e1f-4fd8-976f-87b752376d84,01162558,[],[],3917,3918,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""MFG"", ""name"": ""Aliza Lockman"", ""shift"": ""Morning"", ""title"": ""01162558"", ""supvid"": ""00030414"", ""daytype"": ""Regular"", ""job cat"": ""DL"", ""category"": ""M0"", ""supvname"": ""Zuriati Binti Ahmad Sofi"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""722003"", ""department"": ""MF00"", ""shiftgroup"": ""G26""}",56
1985,cb0320f5-bfbc-45c3-9845-6ca6bcce7f1d,00030414,[],[],3915,3916,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""MFG"", ""name"": ""Hope Vandervort"", ""shift"": ""Morning"", ""title"": ""00030414"", ""supvid"": ""00031138"", ""daytype"": ""Regular"", ""job cat"": ""IL"", ""category"": ""M4"", ""supvname"": ""Wong Tai Yih"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""710235"", ""department"": ""MF00"", ""shiftgroup"": ""G47""}",56
1984,7a0a2b8d-ec9b-4dcf-80f1-3f78c78309d3,00030122,[],[],3913,3914,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""MFG"", ""name"": ""Gia Veum"", ""shift"": ""Normal"", ""title"": ""00030122"", ""supvid"": ""00032022"", ""daytype"": ""Regular"", ""job cat"": ""DL"", ""category"": ""M1"", ""supvname"": ""Mohd Farhan Bin Abdullah"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""712008"", ""department"": ""MF00"", ""shiftgroup"": ""G00""}",56
1983,f0dfdbeb-5e12-43b3-8a65-278be5ff40bd,01262701,[],[],3911,3912,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""ME"", ""name"": ""Zachariah Hammes"", ""shift"": ""Group 2"", ""title"": ""01262701"", ""supvid"": ""00031680"", ""daytype"": ""Regular"", ""job cat"": ""IL"", ""category"": ""M2"", ""supvname"": ""Chau Kok Onn"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""710230"", ""department"": ""ME00"", ""shiftgroup"": ""G61""}",56
1982,f1a88acf-9e7c-4a91-8d2e-2a2e75341ff6,00135089,[],[],3909,3910,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""IE"", ""name"": ""Karelle Quitzon"", ""shift"": ""Normal"", ""title"": ""00135089"", ""supvid"": ""00030375"", ""daytype"": ""Regular"", ""job cat"": ""IL"", ""category"": ""M2"", ""supvname"": ""Adrian Keith Thanaraj Samuel"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""710225"", ""department"": ""IE00"", ""shiftgroup"": ""G00""}",56
1981,0e321b3e-5afa-4f5c-8993-468b1abddcf9,01591227,[],[],3907,3908,2021-03-25 17:00:40,2021-04-24 13:10:30,"{""dept"": ""QA"", ""name"": ""Javier Satterfield"", ""shift"": ""Group 3"", ""title"": ""01591227"", ""supvid"": ""01404584"", ""daytype"": ""Regular"", ""job cat"": ""IL"", ""category"": ""M2"", ""supvname"": ""Jonas Antonio Encarnacion Bautista"", ""workcell"": ""KEYSIGHT"", ""costcenter"": ""710245"", ""department"": ""QA00"", ""shiftgroup"": ""G62""}",56
